created_at,fan_activation
2026-03-03T16:57:52+00:00,1
2026-03-03T17:02:33+00:00,1
2026-03-03T17:07:44+00:00,0
2026-03-03T17:12:33+00:00,0
2026-03-03T17:17:42+00:00,0
2026-03-03T17:22:54+00:00,1
2026-03-03T17:27:31+00:00,1
2026-03-03T17:32:33+00:00,0
2026-03-03T17:37:52+00:00,0
2026-03-03T17:42:39+00:00,0
2026-03-03T17:47:33+00:00,0
2026-03-03T17:52:32+00:00,0
2026-03-03T17:57:46+00:00,0
2026-03-03T18:02:32+00:00,0
2026-03-03T18:07:37+00:00,0
2026-03-03T18:12:32+00:00,0
2026-03-03T18:17:58+00:00,0
2026-03-03T18:22:49+00:00,0
2026-03-03T18:27:53+00:00,0
2026-03-03T18:32:45+00:00,0
2026-03-03T18:37:40+00:00,0
2026-03-03T18:42:44+00:00,0
2026-03-03T18:47:33+00:00,0
2026-03-03T18:52:44+00:00,0
2026-03-03T18:57:32+00:00,0
2026-03-03T19:02:58+00:00,0
2026-03-03T19:07:42+00:00,0
2026-03-03T19:12:50+00:00,0
2026-03-03T19:17:47+00:00,0
2026-03-03T19:22:43+00:00,0
2026-03-03T19:27:49+00:00,0
2026-03-03T19:32:45+00:00,0
2026-03-03T19:37:41+00:00,0
2026-03-03T19:42:41+00:00,0
2026-03-03T19:47:33+00:00,0
2026-03-03T19:52:53+00:00,0
2026-03-03T19:57:33+00:00,0
2026-03-03T20:02:33+00:00,0
2026-03-03T20:07:53+00:00,0
2026-03-03T20:12:32+00:00,0
2026-03-03T20:18:04+00:00,0
2026-03-03T20:22:46+00:00,0
2026-03-03T20:32:36+00:00,0
2026-03-03T20:37:52+00:00,0
2026-03-03T20:42:45+00:00,0
2026-03-03T20:48:04+00:00,0
2026-03-03T20:53:11+00:00,0
2026-03-03T20:58:02+00:00,0
2026-03-03T21:02:42+00:00,0
2026-03-03T21:07:39+00:00,0
2026-03-03T21:12:34+00:00,0
2026-03-03T21:17:42+00:00,0
2026-03-03T21:22:35+00:00,0
2026-03-03T21:27:32+00:00,0
2026-03-03T21:32:41+00:00,0
2026-03-03T21:37:40+00:00,0
2026-03-03T21:42:43+00:00,0
2026-03-03T21:47:55+00:00,0
2026-03-03T21:52:37+00:00,0
2026-03-03T21:57:43+00:00,1
2026-03-03T22:02:40+00:00,1
2026-03-03T22:08:01+00:00,0
2026-03-03T22:13:04+00:00,0
2026-03-03T22:17:46+00:00,0
2026-03-03T22:22:45+00:00,0
2026-03-03T22:27:37+00:00,0
2026-03-03T22:38:10+00:00,1
2026-03-03T22:42:32+00:00,0
2026-03-03T22:47:35+00:00,1
2026-03-03T22:52:33+00:00,1
2026-03-03T22:57:44+00:00,0
2026-03-03T23:02:40+00:00,1
2026-03-03T23:07:32+00:00,1
2026-03-03T23:12:31+00:00,1
2026-03-03T23:17:52+00:00,1
2026-03-03T23:22:44+00:00,1
2026-03-03T23:27:56+00:00,1
2026-03-03T23:32:33+00:00,1
2026-03-03T23:37:33+00:00,1
2026-03-03T23:42:34+00:00,1
2026-03-03T23:47:55+00:00,1
2026-03-03T23:52:58+00:00,1
2026-03-03T23:57:42+00:00,1
2026-03-04T00:02:33+00:00,1
2026-03-04T00:07:33+00:00,1
2026-03-04T00:12:34+00:00,1
2026-03-04T00:17:49+00:00,1
2026-03-04T00:22:56+00:00,1
2026-03-04T00:27:35+00:00,1
2026-03-04T00:32:46+00:00,1
2026-03-04T00:38:04+00:00,1
2026-03-04T00:42:33+00:00,1
2026-03-04T00:47:32+00:00,1
2026-03-04T00:52:32+00:00,1
2026-03-04T00:57:33+00:00,1
2026-03-04T01:03:00+00:00,1
2026-03-04T01:12:36+00:00,1
2026-03-04T01:17:50+00:00,1
2026-03-04T01:22:56+00:00,1
2026-03-04T01:27:32+00:00,1
2026-03-04T01:32:35+00:00,1
2026-03-04T01:37:39+00:00,1
2026-03-04T01:42:33+00:00,1
2026-03-04T01:47:32+00:00,1
2026-03-04T01:52:35+00:00,1
2026-03-04T01:57:55+00:00,1
2026-03-04T02:02:32+00:00,1
2026-03-04T02:07:30+00:00,1
2026-03-04T02:12:32+00:00,1
2026-03-04T02:17:51+00:00,1
2026-03-04T02:22:44+00:00,1
2026-03-04T02:27:59+00:00,1
2026-03-04T02:32:32+00:00,1
2026-03-04T02:38:00+00:00,1
2026-03-04T02:42:33+00:00,1
2026-03-04T02:48:06+00:00,1
2026-03-04T02:52:44+00:00,1
2026-03-04T02:58:04+00:00,1
2026-03-04T03:02:34+00:00,0
2026-03-04T03:07:43+00:00,0
2026-03-04T03:12:53+00:00,0
2026-03-04T03:17:56+00:00,0
2026-03-04T03:22:36+00:00,0
2026-03-04T03:27:59+00:00,0
2026-03-04T03:32:58+00:00,0
2026-03-04T03:37:36+00:00,0
2026-03-04T03:42:48+00:00,0
2026-03-04T03:47:40+00:00,0
2026-03-04T03:52:43+00:00,0
2026-03-04T03:57:43+00:00,0
2026-03-04T04:03:05+00:00,0
2026-03-04T04:07:56+00:00,0
2026-03-04T04:12:32+00:00,0
2026-03-04T04:18:07+00:00,0
2026-03-04T04:23:20+00:00,0
2026-03-04T04:27:32+00:00,0
2026-03-04T04:32:54+00:00,0
2026-03-04T04:37:32+00:00,0
2026-03-04T04:42:34+00:00,0
2026-03-04T04:52:44+00:00,0
2026-03-04T04:57:56+00:00,0
2026-03-04T05:02:37+00:00,0
2026-03-04T05:07:33+00:00,0
2026-03-04T05:12:33+00:00,0
2026-03-04T05:17:52+00:00,0
2026-03-04T05:22:59+00:00,0
2026-03-04T05:27:32+00:00,0
2026-03-04T05:32:32+00:00,0
2026-03-04T05:37:33+00:00,0
2026-03-04T05:42:33+00:00,0
2026-03-04T05:47:46+00:00,0
2026-03-04T05:52:52+00:00,0
2026-03-04T05:57:47+00:00,0
2026-03-04T06:02:52+00:00,0
2026-03-04T06:08:12+00:00,0
2026-03-04T06:17:41+00:00,0
2026-03-04T06:22:57+00:00,0
2026-03-04T06:27:48+00:00,0
2026-03-04T06:32:31+00:00,0
2026-03-04T06:37:32+00:00,0
2026-03-04T06:42:52+00:00,0
2026-03-04T06:52:51+00:00,0
2026-03-04T06:57:48+00:00,0
2026-03-04T07:02:33+00:00,0
2026-03-04T07:07:32+00:00,0
2026-03-04T07:12:38+00:00,0
2026-03-04T07:17:32+00:00,0
2026-03-04T07:22:31+00:00,0
2026-03-04T07:27:57+00:00,0
2026-03-04T07:32:43+00:00,0
2026-03-04T07:37:46+00:00,0
2026-03-04T07:42:33+00:00,0
2026-03-04T07:47:40+00:00,0
2026-03-04T07:52:35+00:00,0
2026-03-04T07:57:45+00:00,0
2026-03-04T08:02:33+00:00,0
2026-03-04T08:07:32+00:00,0
2026-03-04T08:12:32+00:00,0
2026-03-04T08:17:48+00:00,0
2026-03-04T08:22:33+00:00,0
2026-03-04T08:27:39+00:00,0
2026-03-04T08:32:34+00:00,0
2026-03-04T08:37:34+00:00,0
2026-03-04T08:42:52+00:00,0
2026-03-04T08:47:31+00:00,0
2026-03-04T08:53:04+00:00,0
2026-03-04T09:02:50+00:00,0
2026-03-04T09:12:58+00:00,0
2026-03-04T09:17:32+00:00,0
2026-03-04T09:22:33+00:00,0
2026-03-04T09:27:33+00:00,0
2026-03-04T09:37:56+00:00,0
2026-03-04T09:42:43+00:00,0
2026-03-04T09:47:34+00:00,0
2026-03-04T09:57:56+00:00,0
2026-03-04T10:13:05+00:00,0
2026-03-04T10:23:04+00:00,0
2026-03-04T10:27:58+00:00,0
2026-03-04T10:37:45+00:00,0
2026-03-04T10:42:42+00:00,0
2026-03-04T10:48:01+00:00,0
2026-03-04T10:52:46+00:00,0
2026-03-04T10:57:47+00:00,0
2026-03-04T11:02:46+00:00,1
2026-03-04T11:08:01+00:00,1
2026-03-04T11:12:33+00:00,1
2026-03-04T11:18:04+00:00,1
2026-03-04T11:22:52+00:00,1
2026-03-04T11:27:54+00:00,1
2026-03-04T11:32:44+00:00,1
2026-03-04T11:38:01+00:00,1
2026-03-04T11:42:53+00:00,1
2026-03-04T11:47:33+00:00,1
2026-03-04T11:52:58+00:00,1
2026-03-04T11:57:47+00:00,1
2026-03-04T12:02:41+00:00,1
2026-03-04T12:13:08+00:00,1
2026-03-04T12:17:40+00:00,1
2026-03-04T12:27:41+00:00,1
2026-03-04T12:32:36+00:00,1
2026-03-04T12:37:51+00:00,0
2026-03-04T12:42:39+00:00,0
2026-03-04T12:47:56+00:00,0
2026-03-04T12:52:34+00:00,0
2026-03-04T12:57:33+00:00,0
2026-03-04T13:02:53+00:00,0
2026-03-04T13:07:48+00:00,0
2026-03-04T13:12:33+00:00,0
2026-03-04T13:17:44+00:00,0
2026-03-04T13:22:33+00:00,0
2026-03-04T13:27:32+00:00,0
2026-03-04T13:32:45+00:00,1
2026-03-04T13:37:33+00:00,1
2026-03-04T13:42:34+00:00,1
2026-03-04T13:47:54+00:00,1
2026-03-04T13:52:46+00:00,1
2026-03-04T13:57:36+00:00,1
2026-03-04T14:02:51+00:00,1
2026-03-04T14:07:33+00:00,1
2026-03-04T14:12:33+00:00,1
2026-03-04T14:17:51+00:00,1
2026-03-04T14:22:39+00:00,1
2026-03-04T14:32:46+00:00,1
2026-03-04T14:37:38+00:00,1
2026-03-04T14:42:54+00:00,1
2026-03-04T14:47:30+00:00,1
2026-03-04T14:52:33+00:00,1
